row_index,id,school_name,telephone,address,city,state,zip,website,cc_score,avg_ACT,avg_math_SAT,avg_read_SAT,avg_write_SAT,avg_GPA,accept_rate,undergrad_population,graduate_population,region,usn_popular_majors,freshman_retention,student_faculty_ratio,school_type,school_setting,academic_calendar,campus_size,motto,affiliation,athletics,president,mascot,school_color,number_of_students,logo,qs_score,qs_rank,n_popular_majors,median_earn_6_years,graduation_rate,employment_rate,average_aid,application_fee,student_athletic_percentage,application_deadline,application_website,tuitionFees
37,74d3c4c7-2ca1-4923-9044-48593a4f7ab2,Anna Maria College,508-849-3300,50 Sunset Lane,Paxton,MA,1612,http://www.annamaria.edu/,953.4303,19,505,505,N/A,2.94,0.79,1120,325,New England,N/A,0.69,N/A,private,campus,N/A,192 acres,Light and Truth:Lux et Veritas,Association of American Colleges and Universities:Colleges of Worcester Consortium:New England Collegiate Conference:Association of Catholic Colleges and Universities:Roman Catholic Church:Association of Independent Colleges and Universities in Massachusetts:National Association of Independent Colleges and Universities:New England Association of Schools and Colleges,Eastern Collegiate Football Conference:New England Collegiate Conference:National Collegiate Athletic Association,N/A,N/A,Cardinal and White,N/A,N/A,N/A,N/A,"Nursing Science, Education, and Practice:Fire Science and Fire Fighting:Criminal Justice and Law Enforcement Administration:Nursing:Social Work and Youth Services:Business:Health Service Preparatory Studies:Human Services:Psychology:Forensic Science and Technology","44,800",0.41,0.94,"24,986",25,0.29,N/A,admissions.learntoday.info/annamaria.aspx,24242.0
38,454a9b42-7fa9-44e1-898a-852709ff548a,Antelope Valley College,661-722-6300,3041 West  Ave K,Lancaster,CA,93536-5426,http://www.avc.edu/,926.331,N/A,N/A,N/A,N/A,N/A,1,13909,0,Far West,N/A,N/A,N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberal Arts and Humanities:Social Science Research Methods:Business:Natural Sciences:Police and Criminal Science:Nursing:Manufacturing Engineering Technician:Physical Education Teaching and Coaching:Aircraft Maintenance:Child Care Provider,"27,100",0.24,0.72,"5,695",0,0.07,N/A,avc.edu/studentservices/adminrec/applyonline,9761.0
39,cd5da415-ee2a-4778-8d18-36bcdf394a36,Art Academy of Cincinnati,513-562-6262,1212 Jackson Street,Cincinnati,OH,45202,http://www.artacademy.edu/,714.8202,21,501,543,497,3.1,0.21,164,1,Great Lakes,"Illustration:Design and Visual Communications, General:Painting:Sculpture:Photography",N/A,8:1,private,semester,N/A,N/A,"""Make Art, Make a Difference""",N/A,N/A,N/A,"Stinker, the Skunk Soccer mascot",Orange and Prussian Blue,N/A,N/A,N/A,N/A,Painting:Illustration:Photography:Design and Visual Communications:Sculpture:Printmaking,"25,800",0.56,0.86,"13,943",0,N/A,Rolling Admissions,artacademy.edu/admissions/how-to-apply.php,27020.0
40,203c2a92-25f1-40cc-be9d-85b81f45e592,ArtCenter College of Design,626-396-2200,1700 Lida St,Pasadena,CA,91103,http://www.artcenter.edu/,693.2374,N/A,N/A,N/A,N/A,N/A,0.8,2005,246,Far West,Visual and Performing Arts:Engineering Technologies and Engineering-Related Fields:Architecture and Related Services:Communications Technologies/Technicians and Support Services:Computer and Information Sciences and Support Services,N/A,8:1,private,campus,N/A,175 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,2077ccc4-7ba9-479e-b7c6-f45f349341a5,Asbury University,859-858-3511,1 Macklem Dr,Wilmore,KY,40390-1198,http://www.asbury.edu/,1004.0289,25,545,585,N/A,3.65,0.7,1717,256,Southeast,"Business/Commerce, General:Radio, Television, and Digital Communication, Other:Elementary Education and Teaching:Equestrian/Equine Studies:Educational/Instructional Technology",0.83,13:1,private,campus,N/A,65 acres,Eruditio et Religio (Latin):Learning and Religion,National Association of Intercollegiate Athletics:Council for Christian Colleges and Universities:National Christian College Athletic Association:Kentucky Intercollegiate Athletic Conference:Christian College Consortium,N/A,N/A,Eagle,White:Purple,N/A,N/A,N/A,N/A,Radio and Television:Business:Communications:Elementary Education:Psychology:Equine Studies:Accounting:Biology:Social Work and Youth Services:History,"34,900",0.69,0.9,"15,833",0,0.22,N/A,apply.asbury.edu,22500.0
42,31f52d9d-9feb-4e9c-bd1f-ec98eba92cd6,Ashland University,419-289-4142,401 College Avenue,Ashland,OH,44805-3702,http://www.ashland.edu/,1176.6907,23,520,496,N/A,3.42,0.68,4536,2043,Great Lakes,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Education:Communication, Journalism, and Related Programs:Homeland Security, Law Enforcement, Firefighting and Related Protective Services",0.78,13:1,private,campus,N/A,150 acres,"""Accent on the Individual""",The Brethren Church,N/A,N/A,Tuffy the Eagle,Purple and Gold,5700,N/A,N/A,N/A,"Nursing Science, Education, and Practice:Criminal Justice and Law Enforcement Administration:Special Education and Teaching:Early Childhood Education:Business:Psychology:Exercise Physiology:Middle School Education:Finance:Biology","40,400",0.6,0.94,"12,432",0,0.15,N/A,ashland.edu/admissions/apply-now,20201.0
43,05e1f1f1-d9ca-4c58-a568-3a86962bedb4,Assumption University,508-767-7000,500 Salisbury St,Worcester,MA,01609-1296,http://www.assumption.edu/,1008.3454,26,575,589,N/A,3.37,0.81,1982,394,New England,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Social Sciences:English Language and Literature/Letters:Psychology",0.83,12:1,private,campus,N/A,185 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,8f006e85-c5c0-4cc7-8ce3-38cd2e2d8b53,Atlanta Metropolitan State College,404-756-4000,"1630 Metropolitan Parkway, SW",Atlanta,GA,30310-4498,http://www.atlm.edu/,619.85614,N/A,N/A,N/A,N/A,N/A,N/A,2241,0,Southeast,N/A,N/A,N/A,public,campus,N/A,79 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberal Arts and Humanities:Criminal Justice and Law Enforcement Administration:Business:Biology:Graphic Design:Chemistry:Computational and Applied Mathematics,"28,000",0.09,0.88,"6,664",20,0.02,N/A,gacollege411.org/applications/usg_common_app_short/apply.html?application_id=2874,3938.0
45,15728d3b-9da2-40b2-9231-600752beb031,Auburn University,334-844-4000,N/A,Auburn University,AL,36849,http://www.auburn.edu/,1288.9209,27,618,616,561,3.9,0.81,24594,5866,Southeast,"Business, Management, Marketing, and Related Support Services:Engineering:Biological and Biomedical Sciences:Health Professions and Related Programs:Education",0.91,20:1,public,campus,N/A,N/A,For The Advancement of Science and Arts,N/A,NCAA Division I,Jay Gogue,Aubie the Tiger,Orange and Navy blue,27287,https://www.topuniversities.com/sites/default/files/auburn-university_592560cf2aeae70239af51d3_small.jpg,N/A,181-190,Biomedical Sciences and Molecular Medicine:Business:Accounting:Finance:Exercise Physiology:Mechanical Engineering:Marketing:Nursing:Logistics and Supply Chain Management:Communications,"48,800",0.77,0.95,"9,030",50,0.02,June 1,auburn.edu/admissions,22613.0
46,c0f3e2ce-c7ed-42b8-b2fd-54b6ec3f5c12,Auburn University at Montgomery,334-244-3000,7440 East Drive,Montgomery,AL,36124-4023,http://www.aum.edu/,934.9641,21,498,452,N/A,3.39,0.9,4523,665,Southeast,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Computer and Information Sciences and Support Services:Education:Psychology",0.67,16:1,public,campus,N/A,500 acres,Our Standard Is Excellence,N/A,N/A,N/A,N/A,Black and Orange,8000,N/A,N/A,N/A,Nursing:Psychology:Business:Criminal Justice and Safety Studies:Kinesiology and Exercise Science:Information Technology:Biology:Accounting:Elementary Education:Finance,"33,300",0.28,0.91,"5,171",0,0.05,August 15,aum.edu/admissions/step-by-step-guide-to-apply,15047.0
47,bf0e4c53-7ae6-4839-ba3d-3bcd048063d2,Appalachian Bible College,304-877-6428,161 College Drive,Mount Hope,WV,25880,http://www.abc.edu/,684.6044,22,519,564,N/A,N/A,0.56,259,3,Southeast,N/A,N/A,N/A,private,N/A,N/A,N/A,Because life is for service,N/A,N/A,N/A,Warriors,N/A,300,N/A,N/A,N/A,Biblical Studies,"26,700",0.57,0.81,"8,369",35,0.27,N/A,abc.edu/undergraduate/admissions/apply,16207.0
48,23f9b8ab-9765-4342-89dc-cd3d6e6255cc,Appalachian State University,828-262-2000,287 Rivers St,Boone,NC,28608,http://www.appstate.edu/,1370.9353,25,585,600,540,4.3,0.77,17518,1762,Southeast,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Education:Communication, Journalism, and Related Programs:Parks, Recreation, Leisure, and Fitness Studies",0.88,16:1,public,campus,N/A,500 acres,"Esse quam videri (Latin):To be, rather than to seem",N/A,N/A,N/A,Yosef,Black and Gold,19026,N/A,N/A,N/A,Kinesiology and Exercise Science:Psychology:Nursing:Business:Elementary Education:Criminal Justice and Safety Studies:Biology:Finance:Accounting:Marketing,"38,800",0.73,0.94,"8,312",65,0.03,March 15,www1.cfnc.org/applications/appalachian_state_university/apply.html?application_id=1537,10473.0
49,90dcaeaf-f0fc-4470-97a7-b9a08560cc04,Aquinas College,616-632-8900,1607 Robinson Road SE,Grand Rapids,MI,49506,http://www.aquinas.edu/,1116.259,26,N/A,610,N/A,3.49,0.69,1456,144,Great Lakes,"Business, Management, Marketing, and Related Support Services:Parks, Recreation, Leisure, and Fitness Studies:Biological and Biomedical Sciences:Education:Visual and Performing Arts",0.77,10:1,private,city,N/A,117 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance:Liberal Arts and Humanities:International Business:Marketing:English:Psychology:Entrepreneurship:Environmental Science:Biology:Studio Arts,"42,100",0.44,0.88,"18,138",0,0.28,Rolling Admissions,sierranevada.edu/admissions/undergrad/apply,28679.0
50,dc2350e5-d933-4a56-8241-0f1a162c41b6,Arizona Christian University,602-489-5300,2625 E Cactus Rd,Glendale,AZ,85306,http://arizonachristian.edu/,792.518,18,485,500,N/A,3.01,0.65,870,0,Southwest,"Business, Management, Marketing, and Related Support Services:Theology and Religious Vocations:Psychology:Education:Communication, Journalism, and Related Programs",0.57,16:1,private,campus,N/A,68 acres,"""Roll Storm""",Christian:Non-denominational,National Association of Intercollegiate Athletics:National Christian College Athletic Association:Golden State Athletic Conference,Len Munsil,Phoenix (Stormin' Normin),ACU Red and Firestorm Yellow,781,N/A,N/A,N/A,Business:Religious Vocations:Counseling Psychology:Elementary Education:High School Education:Biology:Communications:Psychology:Political Science and Government:Biblical Studies,"32,200",0.47,0.83,"14,524",30,0.64,Rolling Admissions,arizonachristian.edu/apply,22368.0
51,e7696037-4723-41db-bf05-53d8ba436700,Arizona State University at Tempe,480-965-2100,University Drive and Mill Avenue,Tempe,AZ,85287,http://www.asu.edu/,1593.9025,25,624,613,N/A,3.53,0.86,44461,8825,Southwest,"Business, Management, Marketing, and Related Support Services:Engineering:Biological and Biomedical Sciences:Social Sciences:Visual and Performing Arts",0.87,20:1,public,campus,N/A,664 acres,N/A,Pac-12 Conference:Arizona Board of Regents:Mountain Pacific Sports Federation:Universities Research Association:PLuS Alliance,Pac-12 Conference:National Collegiate Athletic Association,Michael M. Crow,Sparky,ASU Maroon and Gold,50246,N/A,N/A,N/A,Business Support Services:Business:Biology:Psychology:Liberal Arts and Humanities:Communications:Marketing:Political Science and Government:Finance:Accounting,"47,700",0.63,0.91,"12,081",70,0.02,Rolling Admissions,asu.edu/apply,12947.0
52,8301b3cd-7981-44c2-806d-d79ff2b6aa68,Arizona State University at the Downtown Phoenix campus,602-496-4636,411 N Central Avenue,Phoenix,AZ,85004,http://campus.asu.edu/downtown/,986.76263,23,583,591,N/A,3.53,0.82,8513,2907,Southwest,"Business, Management, Marketing, and Related Support Services:Psychology:Biological and Biomedical Sciences:Education:Communication, Journalism, and Related Programs",N/A,15:1,public,campus,N/A,278 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Criminal Justice and Law Enforcement Administration:Physical Education Teaching and Coaching:Journalism:Nursing:Foods, Nutrition, and Wellness Studies:Social Work and Youth Services:Health Service Preparatory Studies:Hospitality and Tourism Management:Kinesiology and Exercise Science:Homeland Security and Disaster Management","47,700",0.66,0.91,"12,715",50,N/A,N/A,students.asu.edu/apply,12299.0
53,19777b53-94f9-42a2-9ea8-d56487d4a5c5,Arkansas Baptist College,501-374-7856,1621 Dr. Martin Luther King Drive,Little Rock,AR,72202-6067,http://www.arkansasbaptist.edu/,599.4734,15,N/A,N/A,N/A,2.6,N/A,626,0,Southeast,"Public Administration and Social Service Professions:Business Administration, Management and Operations:Urban Education and Leadership:Corrections and Criminal Justice, Other:Religion/Religious Studies",0.44,N/A,private,campus,N/A,20 acres,N/A,N/A,N/A,Joseph L. Jones,Buffaloes,White:Purple,1100,N/A,N/A,N/A,Liberal Arts and Humanities:Business:Public Administration:Education:Human Services:Religious Studies:Criminal Justice and Corrections:Music Management:Accounting:Music Performance,"21,800",0.19,0.81,"4,644",25,0.35,N/A,N/A,17423.0
54,425d74b7-7935-4f5b-9a25-cd18c8f1978d,Arkansas State University,870-972-2100,2105 E. Aggie Road,State University,AR,72467,http://www.astate.edu/,1268.5382,24,568,565,450,3.56,0.66,9604,4326,Southeast,"Registered Nursing/Registered Nurse:General Studies:Business Administration and Management, General:Early Childhood Education and Teaching:Biology/Biological Sciences, General",0.75,18:1,public,city,N/A,921 acres,"Educate, Enhance, Enrich: e3",Sun Belt Conference,N/A,N/A,N/A,"Scarlet, Black and White",21976,N/A,N/A,N/A,Liberal Arts and Humanities:Nursing:Business:Biology:Criminology:Early Childhood Education:Finance:Kinesiology and Exercise Science:Psychology:Agricultural Business,"32,200",0.48,0.89,"8,062",30,0.05,Rolling Admissions,asups1.astate.edu:4443/prod/bwskalog.p_disploginnon,13420.0
55,a0ccd297-1507-4049-9507-a515bb1d320b,Arkansas Tech University,479-968-0389,Administration Bldg 200; 1509 N Boulder Ave,Russellville,AR,72801,http://www.atu.edu/,1234.0059,22,535,523,N/A,3.31,0.95,11015,814,Southeast,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Education:Multi/Interdisciplinary Studies:Engineering",0.7,18:1,public,campus,N/A,559 acres,N/A,N/A,N/A,N/A,Jerry the Bulldog,Green and Gold,N/A,N/A,N/A,N/A,Liberal Arts and Humanities:Medical Secretary:Nursing:Business Support Services:Business:Early Childhood Education:Licensed Practical Nurse Training (LPN):Psychology:Automotive Mechanics:Welding,"34,100",0.39,0.89,"6,352",0,0.04,Rolling Admissions,atu.edu/admissions,11510.0
56,05b2179c-b3ea-4361-9721-4a96db8d0070,Augsburg University,612-330-1000,2211 Riverside Ave,Minneapolis,MN,55454-1351,http://www.augsburg.edu/,1163.7411,21,570,590,N/A,3.22,0.59,2512,913,Plains,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Social Sciences:Psychology:Visual and Performing Arts",0.75,12:1,private,campus,N/A,24 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nursing Administration:Biology:Business:Communications:Kinesiology and Exercise Science:Computer Science:Marketing:Psychology:Economics:Finance,"46,800",0.62,0.94,"25,629",0,0.2,N/A,augsburg.edu/firstyear/inquire-and-apply,24020.0
57,9d1e47bf-40ea-4ea7-aaff-4660a3bb3a63,Augustana College,309-794-7000,639 38th St,Rock Island,IL,61201-2296,http://www.augustana.edu/,1029.9281,26,590,585,552,3.36,0.57,2546,0,Great Lakes,"Biology/Biological Sciences, General:Marketing/Marketing Management, General:Pre-Medicine/Pre-Medical Studies:Social Sciences, Other:Psychology, General",0.87,11:1,private,campus,N/A,115 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,db00113f-0f8c-4ce2-95f5-364e6cdb1a93,Augustana University,605-274-0770,2001 S Summit Ave,Sioux Falls,SD,57197,http://www.augie.edu/,960.86334,26,N/A,N/A,N/A,3.71,0.67,1818,295,Plains,"Education:Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Biological and Biomedical Sciences:Social Sciences",0.84,11:1,private,city,N/A,100 acres,The Word of God endures forever:Verbum Dei manet in aeternum,Evangelical Lutheran Church in America:Northern Sun Intercollegiate Conference,N/A,N/A,Ole the Viking,Navy blueandgold,1800,https://www.topuniversities.com/sites/default/files/augustana-university_5c80cbbb5c52f34a7154a922_small.jpg,N/A,251-300,Business:Nursing:Biology:Elementary Education:Political Science and Government:Special Education and Teaching:Spanish Language and Literature:Mathematics:Psychology:Sport and Fitness Management,"43,700",0.71,0.96,"21,816",0,0.25,Rolling Admissions,augie.edu/apply,18937.0
59,9c2f956a-47e5-4633-aeec-1d7ffda5af66,Augusta University,706-721-0211,1120 Fifteenth St,Augusta,GA,30912,http://www.augusta.edu/,1055.8274,N/A,N/A,N/A,N/A,N/A,0.47,9137,0,Southeast,N/A,0.73,N/A,public,campus,N/A,670 acres,N/A,N/A,N/A,Brooks Keel,N/A,BlueandGray,9186,N/A,N/A,N/A,Nursing:Psychology:Kinesiology and Exercise Science:Marketing:Communications:Business:Computer and Information Systems Security:Criminal Justice and Safety Studies:Dental Hygiene:Sociology,"62,300",0.27,0.89,"5,908",50,0.05,N/A,augusta.edu/admissions/apply.php,13381.0
60,64e0ebce-723a-4f28-9c0a-8808db429841,Aultman College of Nursing and Health Sciences,330-363-6347,2600 6th St SW,Canton,OH,44710,http://www.aultmancollege.edu/,637.1223,21,470,620,N/A,3.41,0.51,305,0,Great Lakes,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,7fedb2d5-6f26-435b-9a14-0836233e6484,Aurora University,630-892-6431,347 S Gladstone Ave,Aurora,IL,60506-4892,http://www.aurora.edu/,995.3957,21,525,523,N/A,3.44,0.87,4104,2142,Great Lakes,N/A,0.72,N/A,private,N/A,N/A,N/A,"""Wise persons will carry away knowledge"":Sapientes abscondunt scientiam",N/A,N/A,N/A,N/A,royal blue and white,N/A,N/A,N/A,N/A,Nursing:Business:Social Work and Youth Services:Psychology:Criminal Justice and Safety Studies:Accounting:Elementary Education:Communications:Health Service Preparatory Studies:Marketing,"42,700",0.53,0.93,"15,909",0,0.18,Rolling Admissions,aurora.edu/admission/apply/index.html#axzz3lgle4zlh,17848.0
62,9b64a384-98c0-4ef4-823f-0c36ea67d715,Austin College,903-813-2000,900 N Grand Ave,Sherman,TX,75090-4400,http://www.austincollege.edu/,978.1295,27,600,600,572,3.51,0.51,1294,20,Southwest,"Business, Management, Marketing, and Related Support Services:Biological and Biomedical Sciences:Psychology:Social Sciences:English Language and Literature/Letters",0.81,12:1,private,city,N/A,70 acres,Nil nisi per aspera,Association of Presbyterian Colleges and Universities:Presbyterian Church USA:Oberlin Group:Annapolis Group:Council of Independent Colleges,Southern Athletic Association:National Collegiate Athletic Association,N/A,Kangaroo,Crimson & Gold,N/A,N/A,N/A,N/A,Business:Psychology:Biology:Public Health:Economics:History:Political Science and Government:Computer Science:Spanish Language and Literature:Communications,"48,200",0.67,0.9,"29,820",0,0.28,March 1,austincollege.edu/admission/apply,21893.0
